anchor_id,top5_ids,top5_scores
42804,"[np.int64(42805), np.int64(53464), np.int64(24532), np.int64(42200), np.int64(32579)]","[np.float32(0.904), np.float32(0.862), np.float32(0.859), np.float32(0.855), np.float32(0.852)]"
46133,"[np.int64(54156), np.int64(48581), np.int64(43705), np.int64(31722), np.int64(54150)]","[np.float32(0.883), np.float32(0.83), np.float32(0.824), np.float32(0.82), np.float32(0.817)]"
48348,"[np.int64(47315), np.int64(47346), np.int64(34462), np.int64(38433), np.int64(50526)]","[np.float32(0.83), np.float32(0.801), np.float32(0.775), np.float32(0.733), np.float32(0.724)]"
48497,"[np.int64(52524), np.int64(17993), np.int64(57217), np.int64(41625), np.int64(27018)]","[np.float32(0.919), np.float32(0.881), np.float32(0.881), np.float32(0.876), np.float32(0.874)]"
48581,"[np.int64(59782), np.int64(46133), np.int64(58605), np.int64(54156), np.int64(43705)]","[np.float32(0.845), np.float32(0.83), np.float32(0.801), np.float32(0.8), np.float32(0.794)]"
50773,"[np.int64(15060), np.int64(33358), np.int64(20685), np.int64(7267), np.int64(33700)]","[np.float32(0.952), np.float32(0.922), np.float32(0.91), np.float32(0.899), np.float32(0.893)]"
53463,"[np.int64(51050), np.int64(59706), np.int64(59724), np.int64(57313), np.int64(51826)]","[np.float32(0.93), np.float32(0.929), np.float32(0.926), np.float32(0.925), np.float32(0.92)]"
54103,"[np.int64(47575), np.int64(13479), np.int64(56891), np.int64(45785), np.int64(57007)]","[np.float32(0.875), np.float32(0.874), np.float32(0.834), np.float32(0.832), np.float32(0.831)]"
56682,"[np.int64(29411), np.int64(46308), np.int64(51635), np.int64(31821), np.int64(51657)]","[np.float32(0.927), np.float32(0.906), np.float32(0.902), np.float32(0.899), np.float32(0.899)]"
58086,"[np.int64(43808), np.int64(52827), np.int64(58141), np.int64(43705), np.int64(43857)]","[np.float32(0.781), np.float32(0.775), np.float32(0.763), np.float32(0.763), np.float32(0.76)]"
59484,"[np.int64(48991), np.int64(46205), np.int64(42620), np.int64(43857), np.int64(59782)]","[np.float32(0.784), np.float32(0.757), np.float32(0.741), np.float32(0.734), np.float32(0.734)]"
13566,"[np.int64(25521), np.int64(17879), np.int64(13611), np.int64(50192), np.int64(50555)]","[np.float32(0.954), np.float32(0.937), np.float32(0.928), np.float32(0.918), np.float32(0.91)]"
14877,"[np.int64(21937), np.int64(27060), np.int64(36069), np.int64(10203), np.int64(53886)]","[np.float32(0.86), np.float32(0.84), np.float32(0.812), np.float32(0.808), np.float32(0.807)]"
39028,"[np.int64(19762), np.int64(37298), np.int64(51660), np.int64(51556), np.int64(45872)]","[np.float32(0.944), np.float32(0.938), np.float32(0.921), np.float32(0.919), np.float32(0.913)]"
20773,"[np.int64(56891), np.int64(47575), np.int64(13479), np.int64(45785), np.int64(54103)]","[np.float32(0.848), np.float32(0.842), np.float32(0.833), np.float32(0.828), np.float32(0.812)]"
