anchor_id,top5_ids,top5_scores
50773,"[np.int64(15060), np.int64(33358), np.int64(33700), np.int64(20685), np.int64(9090)]","[np.float32(0.81), np.float32(0.783), np.float32(0.775), np.float32(0.764), np.float32(0.687)]"
53463,"[np.int64(59706), np.int64(39539), np.int64(59705), np.int64(57313), np.int64(59091)]","[np.float32(0.911), np.float32(0.904), np.float32(0.898), np.float32(0.872), np.float32(0.872)]"
54103,"[np.int64(56891), np.int64(47575), np.int64(57007), np.int64(13479), np.int64(45785)]","[np.float32(0.681), np.float32(0.648), np.float32(0.635), np.float32(0.615), np.float32(0.609)]"
56682,"[np.int64(19762), np.int64(39028), np.int64(45872), np.int64(29411), np.int64(25338)]","[np.float32(0.772), np.float32(0.762), np.float32(0.758), np.float32(0.756), np.float32(0.75)]"
58086,"[np.int64(52827), np.int64(58141), np.int64(58610), np.int64(58605), np.int64(58059)]","[np.float32(0.465), np.float32(0.424), np.float32(0.359), np.float32(0.352), np.float32(0.346)]"
59484,"[np.int64(42623), np.int64(43757), np.int64(59782), np.int64(48991), np.int64(48588)]","[np.float32(0.603), np.float32(0.533), np.float32(0.533), np.float32(0.5), np.float32(0.488)]"
13566,"[np.int64(50555), np.int64(49978), np.int64(25521), np.int64(13611), np.int64(50192)]","[np.float32(0.778), np.float32(0.777), np.float32(0.767), np.float32(0.74), np.float32(0.725)]"
14877,"[np.int64(27060), np.int64(21937), np.int64(36664), np.int64(53886), np.int64(58266)]","[np.float32(0.773), np.float32(0.764), np.float32(0.749), np.float32(0.749), np.float32(0.713)]"
39028,"[np.int64(19762), np.int64(36798), np.int64(51556), np.int64(37298), np.int64(51660)]","[np.float32(0.834), np.float32(0.824), np.float32(0.814), np.float32(0.807), np.float32(0.793)]"
20773,"[np.int64(24077), np.int64(54103), np.int64(39591), np.int64(56957), np.int64(47575)]","[np.float32(0.617), np.float32(0.533), np.float32(0.52), np.float32(0.514), np.float32(0.492)]"
