id,langue,fichier_audio,transcription_ortho,transcription_ipa,traduction_fr,locuteur,source,paire_minimale,id_paire,ton_patron,conditions,duree_sec,qualite,notes
sw_014,swahili,sw_014.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.29,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part014g
sw_015,swahili,sw_015.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.81,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part015g
sw_016,swahili,sw_016.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.19,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part016g
sw_017,swahili,sw_017.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.45,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part017g
sw_018,swahili,sw_018.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.54,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part018g
sw_019,swahili,sw_019.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.2,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part019g
sw_020,swahili,sw_020.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,5.84,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part020g
sw_021,swahili,sw_021.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.0,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part021g
sw_022,swahili,sw_022.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.64,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part022g
sw_023,swahili,sw_023.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.36,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part023g
sw_024,swahili,sw_024.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.38,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part024g
sw_025,swahili,sw_025.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.43,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part025g
sw_026,swahili,sw_026.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.52,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part026g
sw_027,swahili,sw_027.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.57,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part027g
sw_028,swahili,sw_028.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.76,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part028g
sw_029,swahili,sw_029.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.87,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part029g
sw_030,swahili,sw_030.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,4.34,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part030g
sw_031,swahili,sw_031.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.62,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part031g
sw_032,swahili,sw_032.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,3.62,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part032g
sw_033,swahili,sw_033.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,5.45,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part033g
sw_034,swahili,sw_034.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.81,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part034g
sw_035,swahili,sw_035.wav,,,,L1_masculin,OpenSLR/ALFFA,non,,NA,studio,2.55,haute,utt_id=16k-emission_swahili_05h30_-_06h00_tu_20101124_part035g
